Shard,rmse,mae,r2,wape,hit_rate,balanced_accuracy,macro_f1,correlation,ic,shard,fold,train_rows,test_rows,params_json
Shard 1,0.194600809676574,0.1748011202179768,-1.49306036332954,153.76987547286316,0.3333333333333333,0.5,0.25,0.7017438870803062,0.7929980550152822,0,12,1025,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.3794044394756438,0.3563662339611672,-3.3036055226312024,117.57220284410089,0.3,0.631578947368421,0.2708333333333333,0.7617465469342027,0.7397610447346487,0,13,1085,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.2837407992843482,0.2274222029103051,0.0196002859417823,101.1391238755322,0.6333333333333333,0.625139043381535,0.6052631578947368,0.4978558761690461,0.3649902750764101,0,14,1145,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.3182927541304201,0.2781462258716648,-0.2583108256485982,101.97818240585036,0.3833333333333333,0.5131578947368421,0.2972459639126306,0.4368437784992866,0.404834676298972,0,15,1205,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.1863807463454437,0.160815936211713,-0.3872358529056234,64.82991303746007,0.95,0.4830508474576271,0.4871794871794871,0.6740634459501799,0.5866073909419285,0,16,1265,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.2038715832993319,0.1924491859757666,-7.723743971443742,275.476061500228,0.25,0.5,0.2,0.2947268106917076,0.2937482634065018,0,17,1325,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.3605160767468249,0.319660469971752,-5.881838448412113,125.17238835302796,0.1833333333333333,,0.1549295774647887,-0.279209104084742,-0.3220338983050848,0,18,1385,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.3171716618421362,0.2931373155827593,0.0630783140095195,82.37291498192951,0.7333333333333333,0.7783857729138166,0.717978848413631,0.688804663575039,0.7184217838288416,0,19,1445,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.2599448479507304,0.2159101586022965,-1.708104010201864,120.78510462756957,0.3666666666666666,0.2340425531914893,0.2682926829268293,-0.6198311497545942,-0.6809113642678524,0,20,1505,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.0604675691153195,0.0508376511181884,0.0983926091269223,93.6198243979142,0.8333333333333334,0.8333333333333334,0.8125,0.536239558253976,0.4227285357043623,0,21,1565,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.1033247925073138,0.0926672319473441,-12.02986776765812,269.5367858524474,0.2666666666666666,0.5925925925925926,0.2633928571428571,0.3866959816133288,0.5385940539038623,0,22,1625,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.0766751166866955,0.0663326008598788,-0.668338995324302,58.41963820491864,0.9833333333333332,0.5,0.4957983193277311,0.2810460405894218,0.3747707696582384,0,23,1685,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 1,0.1145664187660851,0.0941103854911551,0.1694195147285836,69.53037098368475,0.8666666666666667,0.7391304347826086,0.7773654916512059,0.5608300835891797,0.3667129758266186,0,24,1745,60,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
