Shard,rank,rmse,mae,r2,wape,hit_rate,balanced_accuracy,macro_f1,correlation,ic,shard,n_folds,best_trial,best_value_wape,params_json
Shard 1,4,0.2219217982636306,0.1658140720473905,-0.0563102920858851,105.7740642647118,0.5833333333333334,0.5835916538037955,0.5832004253056885,0.1975824141200804,0.1984277599247536,0,28,6,30.215990479524667,"{""vmd_K"": 7, ""vmd_alpha"": 10000, ""window_size"": 40, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.16838054876258252, ""use_attention"": false, ""ensemble_hidden"": 16, ""lr"": 0.0013073172974667172, ""batch_size"": 16, ""epochs"": 40}"
Shard 2,2,0.2134641562910264,0.1530431508442945,0.0226693746709572,97.62739599116642,0.6428571428571429,0.6431733234682553,0.6426743274265887,0.3311639862172112,0.3672160517404191,1,28,12,26.98650398368516,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 3,1,0.2104275489909204,0.1496860530098301,0.0502773867100048,95.48587761639251,0.6196428571428572,0.6208939801762958,0.6149739524958082,0.3543836449622394,0.304804708620133,2,28,19,28.258640562319226,"{""vmd_K"": 5, ""vmd_alpha"": 2000, ""window_size"": 40, ""lstm_hidden"": 32, ""lstm_layers"": 2, ""dropout"": 0.21565581051201643, ""use_attention"": true, ""ensemble_hidden"": 32, ""lr"": 0.0031558654140413723, ""batch_size"": 16, ""epochs"": 40}"
Shard 4,3,0.22458114362845,0.1597890590745029,-0.081778046443224,101.9306624260078,0.6398809523809523,0.6404200312110659,0.6391997219807382,0.2666784151900738,0.3090874710093209,3,28,17,29.706925788492384,"{""vmd_K"": 6, ""vmd_alpha"": 2000, ""window_size"": 30, ""lstm_hidden"": 32, ""lstm_layers"": 2, ""dropout"": 0.2983453697468538, ""use_attention"": true, ""ensemble_hidden"": 64, ""lr"": 0.0017186144969043259, ""batch_size"": 32, ""epochs"": 40}"
