feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule
mkt_logret_ma20,market_microstructure,current_pm_final,mkt_logret_ma20,True,existing_pm_final_predictor,2125,0.99671669793621,2078,False,False,all_in_finbert_60d,,,
mkt_logret_ma5,market_microstructure,current_pm_final,mkt_logret_ma5,True,existing_pm_final_predictor,2129,0.99859287054409,2072,False,False,all_in_finbert_60d,,,
mkt_logret_ma60,market_microstructure,current_pm_final,mkt_logret_ma60,True,existing_pm_final_predictor,2111,0.9901500938086304,2075,False,False,all_in_finbert_60d,,,
mkt_logret_vol_20d,market_microstructure,current_pm_final,mkt_logret_vol_20d,True,existing_pm_final_predictor,2125,0.99671669793621,2097,False,False,all_in_finbert_60d,,,
mkt_vol,market_microstructure,current_pm_final,mkt_vol,True,existing_pm_final_predictor,2132,1.0,1725,False,False,all_in_finbert_60d,,,
mkt_vol_log1p,market_microstructure,current_pm_final,mkt_vol_log1p,True,existing_pm_final_predictor,2132,1.0,1725,False,False,all_in_finbert_60d,,,
mkt_vol_lag1,market_microstructure,current_pm_final,mkt_vol_lag1,True,existing_pm_final_predictor,2131,0.99953095684803,1724,False,False,all_in_finbert_60d,,,
mkt_vol_lag20,market_microstructure,current_pm_final,mkt_vol_lag20,True,existing_pm_final_predictor,2112,0.9906191369606004,1705,False,False,all_in_finbert_60d,,,
mkt_vol_lag5,market_microstructure,current_pm_final,mkt_vol_lag5,True,existing_pm_final_predictor,2127,0.99765478424015,1720,False,False,all_in_finbert_60d,,,
mkt_vol_lag60,market_microstructure,current_pm_final,mkt_vol_lag60,True,existing_pm_final_predictor,2072,0.9718574108818012,1666,False,False,all_in_finbert_60d,,,
mkt_vol_ma20,market_microstructure,current_pm_final,mkt_vol_ma20,True,existing_pm_final_predictor,2126,0.99718574108818,2124,False,False,all_in_finbert_60d,,,
mkt_vol_ma5,market_microstructure,current_pm_final,mkt_vol_ma5,True,existing_pm_final_predictor,2130,0.99906191369606,2124,False,False,all_in_finbert_60d,,,
mkt_vol_std20,market_microstructure,current_pm_final,mkt_vol_std20,True,existing_pm_final_predictor,2126,0.99718574108818,2121,False,False,all_in_finbert_60d,,,
mkt_vol_std60,market_microstructure,current_pm_final,mkt_vol_std60,True,existing_pm_final_predictor,2112,0.9906191369606004,2109,False,False,all_in_finbert_60d,,,
fuel_bitum_coal_krwkwh,power_energy,current_pm_final,fuel_bitum_coal_krwkwh,True,existing_pm_final_predictor,2128,0.99812382739212,123,False,False,all_in_finbert_60d,,,
fuel_oil_krwkwh,power_energy,current_pm_final,fuel_oil_krwkwh,True,existing_pm_final_predictor,2128,0.99812382739212,123,False,False,all_in_finbert_60d,,,
fuel_bitum_coal_krwton,power_energy,current_pm_final,fuel_bitum_coal_krwton,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
fuel_oil_krw_per_kl,power_energy,current_pm_final,fuel_oil_krw_per_kl,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
fuel_heat_bitum_coal_krwgcal,power_energy,current_pm_final,fuel_heat_bitum_coal_krwgcal,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
fuel_heat_oil_krwgcal,power_energy,current_pm_final,fuel_heat_oil_krwgcal,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_day,power_energy,current_pm_final,pwr_day,True,existing_pm_final_predictor,2132,1.0,31,False,False,all_in_finbert_60d,,,
pwr_resv_cap_mw,power_energy,current_pm_final,pwr_resv_cap_mw,True,existing_pm_final_predictor,2132,1.0,1971,False,False,all_in_finbert_60d,,,
pwr_resv_mgn_pct,power_energy,current_pm_final,pwr_resv_mgn_pct,True,existing_pm_final_predictor,2132,1.0,468,False,False,all_in_finbert_60d,,,
pwr_sup_cap_mw,power_energy,current_pm_final,pwr_sup_cap_mw,True,existing_pm_final_predictor,2132,1.0,1993,False,False,all_in_finbert_60d,,,
pwr_anth_gwh,power_energy,current_pm_final,pwr_anth_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,121,False,False,all_in_finbert_60d,,,
pwr_bio_gwh,power_energy,current_pm_final,pwr_bio_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_bitum_coal_gwh,power_energy,current_pm_final,pwr_bitum_coal_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_coal_total_gwh,power_energy,current_pm_final,pwr_coal_total_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_lng_gwh,power_energy,current_pm_final,pwr_lng_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_market_ppa_total_gwh,power_energy,current_pm_final,pwr_market_ppa_total_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_ocean_gwh,power_energy,current_pm_final,pwr_ocean_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,116,False,False,all_in_finbert_60d,,,
pwr_oil_gwh,power_energy,current_pm_final,pwr_oil_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
pwr_other_gwh,power_energy,current_pm_final,pwr_other_gwh,True,existing_pm_final_predictor,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,,
