order,feature_name,label_ko,feature_group,source_kind,source_table_or_file,source_column,transform_or_definition,as_of_rule,disclosure_lag,coverage,non_null_count,unique_value_count,expected_sign,description,domain_rationale,statistical_evidence,literature_anchor
125,pwr_fuel_price_anthracite_krw_pe,,pwr,raw.epsis_fuel_cost_monthly,raw.epsis_fuel_cost_monthly,fuel_price_anthracite_krw_per_ton,db_time_indexed_asof_join,,,"non_null=2128, coverage_rate=0.99812382739212",2128,117,,Base all_in feature carried forward.,,,
126,pwr_heat_price_nuclear_krw_per_g,,pwr,raw.epsis_fuel_cost_monthly,raw.epsis_fuel_cost_monthly,heat_price_nuclear_krw_per_gcal,db_time_indexed_asof_join,,,"non_null=2128, coverage_rate=0.99812382739212",2128,122,,Base all_in feature carried forward.,,,
127,pwr_fuel_cost_nuclear_krw_per_kw,,pwr,raw.epsis_fuel_cost_monthly,raw.epsis_fuel_cost_monthly,fuel_cost_nuclear_krw_per_kwh,db_time_indexed_asof_join,,,"non_null=2128, coverage_rate=0.99812382739212",2128,100,,Base all_in feature carried forward.,,,
128,pwr_installed_capacity_mw,,pwr,raw.epsis_power_supply_daily,raw.epsis_power_supply_daily,installed_capacity_mw,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,272,,Base all_in feature carried forward.,,,
129,pwr_minimum_demand_mw,,pwr,raw.epsis_power_supply_daily,raw.epsis_power_supply_daily,minimum_demand_mw,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,27,,Base all_in feature carried forward.,,,
130,pwr_trade_volume_ppa_total_gwh,,pwr,raw.epsis_power_trade_volume_monthly,raw.epsis_power_trade_volume_monthly,trade_volume_ppa_total_gwh,db_time_indexed_asof_join,,,"non_null=2128, coverage_rate=0.99812382739212",2128,73,,Base all_in feature carried forward.,,,
131,pwr_trade_volume_fuel_cell_gwh,,pwr,raw.epsis_power_trade_volume_monthly,raw.epsis_power_trade_volume_monthly,trade_volume_fuel_cell_gwh,db_time_indexed_asof_join,,,"non_null=2128, coverage_rate=0.99812382739212",2128,124,,Base all_in feature carried forward.,,,
132,pwr_blmp_krw_per_kwh,,pwr,raw.epsis_smp_monthly,raw.epsis_smp_monthly,blmp_krw_per_kwh,db_time_indexed_asof_join,,,"non_null=2128, coverage_rate=0.99812382739212",2128,1,,Base all_in feature carried forward.,,,
133,ext_clsprc,,ext,raw.eua_daily,raw.eua_daily,clsprc,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1758,,Base all_in feature carried forward.,,,
134,ext_opr,,ext,raw.eua_daily,raw.eua_daily,opr,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1705,,Base all_in feature carried forward.,,,
135,ext_hpr,,ext,raw.eua_daily,raw.eua_daily,hpr,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1722,,Base all_in feature carried forward.,,,
136,ext_lpr,,ext,raw.eua_daily,raw.eua_daily,lpr,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1734,,Base all_in feature carried forward.,,,
137,ext_acc_trdvol,,ext,raw.eua_daily,raw.eua_daily,acc_trdvol,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1147,,Base all_in feature carried forward.,,,
138,ext_period,,ext,raw.eua_daily,raw.eua_daily,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
139,pol_period,,pol,raw.gir_additional_allocation,raw.gir_additional_allocation,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,1,,Base all_in feature carried forward.,,,
140,pol_no,,pol,raw.gir_additional_allocation,raw.gir_additional_allocation,no,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,1,,Base all_in feature carried forward.,,,
141,pol_allocation_qty,,pol,raw.gir_additional_allocation,raw.gir_additional_allocation,allocation_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
142,pol_period_2,,pol,raw.gir_borrowing,raw.gir_borrowing,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
143,pol_no_2,,pol,raw.gir_borrowing,raw.gir_borrowing,no,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,8,,Base all_in feature carried forward.,,,
144,pol_borrowing_qty,,pol,raw.gir_borrowing,raw.gir_borrowing,borrowing_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,8,,Base all_in feature carried forward.,,,
145,pol_period_3,,pol,raw.gir_cancelled_allocation,raw.gir_cancelled_allocation,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
146,pol_no_3,,pol,raw.gir_cancelled_allocation,raw.gir_cancelled_allocation,no,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
147,pol_cancelled_qty,,pol,raw.gir_cancelled_allocation,raw.gir_cancelled_allocation,cancelled_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,11,,Base all_in feature carried forward.,,,
148,pol_period_4,,pol,raw.gir_carryover,raw.gir_carryover,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
149,pol_no_4,,pol,raw.gir_carryover,raw.gir_carryover,no,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
150,pol_carryover_qty,,pol,raw.gir_carryover,raw.gir_carryover,carryover_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
151,pol_banking_qty,,pol,raw.gir_carryover,raw.gir_carryover,banking_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
152,pol_period_5,,pol,raw.gir_certified_emissions,raw.gir_certified_emissions,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
153,pol_no_5,,pol,raw.gir_certified_emissions,raw.gir_certified_emissions,no,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,11,,Base all_in feature carried forward.,,,
154,pol_certified_emissions_qty,,pol,raw.gir_certified_emissions,raw.gir_certified_emissions,certified_emissions_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,11,,Base all_in feature carried forward.,,,
155,pol_period_7,,pol,raw.gir_early_reduction,raw.gir_early_reduction,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1,,Base all_in feature carried forward.,,,
156,pol_no_7,,pol,raw.gir_early_reduction,raw.gir_early_reduction,no,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1,,Base all_in feature carried forward.,,,
157,pol_early_reduction_qty,,pol,raw.gir_early_reduction,raw.gir_early_reduction,early_reduction_qty,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1,,Base all_in feature carried forward.,,,
158,pol_period_8,,pol,raw.gir_offset_issuance,raw.gir_offset_issuance,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
159,pol_no_9,,pol,raw.gir_offset_issuance,raw.gir_offset_issuance,no,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,11,,Base all_in feature carried forward.,,,
160,pol_offset_qty,,pol,raw.gir_offset_issuance,raw.gir_offset_issuance,offset_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,11,,Base all_in feature carried forward.,,,
161,pol_no_10,,pol,raw.gir_pre_allocation,raw.gir_pre_allocation,no,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
162,pol_period_9,,pol,raw.gir_pre_allocation,raw.gir_pre_allocation,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
163,pol_pre_allocation_qty,,pol,raw.gir_pre_allocation,raw.gir_pre_allocation,pre_allocation_qty,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,12,,Base all_in feature carried forward.,,,
164,pol_period_11,,pol,raw.gir_total_allowance,raw.gir_total_allowance,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
165,pol_total_emissions,,pol,raw.gir_total_allowance,raw.gir_total_allowance,total_emissions,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
166,pol_total_allowance_qty,,pol,raw.gir_total_allowance,raw.gir_total_allowance,total_allowance_qty,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,12,,Base all_in feature carried forward.,,,
167,pol_period_13,,pol,raw.khnp_allocation,raw.khnp_allocation,period,db_time_indexed_asof_join,,,"non_null=1300, coverage_rate=0.6097560975609756",1300,2,,Base all_in feature carried forward.,,,
168,pol_free_allocation_qty,,pol,raw.khnp_allocation,raw.khnp_allocation,free_allocation_qty,db_time_indexed_asof_join,,,"non_null=1300, coverage_rate=0.6097560975609756",1300,3,,Base all_in feature carried forward.,,,
169,wx_station_count,,wx,raw.kma_asos_weather_daily,raw.kma_asos_weather_daily,station_count,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1,,Base all_in feature carried forward.,,,
170,wx_avg_wind_speed_mps,,wx,raw.kma_asos_weather_daily,raw.kma_asos_weather_daily,avg_wind_speed_mps,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,294,,Base all_in feature carried forward.,,,
171,wx_solar_radiation_mj_m2,,wx,raw.kma_asos_weather_daily,raw.kma_asos_weather_daily,solar_radiation_mj_m2,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1955,,Base all_in feature carried forward.,,,
172,wx_avg_wind_speed_mps_2,,wx,raw.kma_asos_weather_station_daily,raw.kma_asos_weather_station_daily,avg_wind_speed_mps,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,294,,Base all_in feature carried forward.,,,
173,wx_solar_radiation_mj_m2_2,,wx,raw.kma_asos_weather_station_daily,raw.kma_asos_weather_station_daily,solar_radiation_mj_m2,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1955,,Base all_in feature carried forward.,,,
174,pol_period_14,,pol,raw.kogas_emissions,raw.kogas_emissions,period,db_time_indexed_asof_join,,,"non_null=2066, coverage_rate=0.9690431519699813",2066,3,,Base all_in feature carried forward.,,,
175,pol_total_emissions_2,,pol,raw.kogas_emissions,raw.kogas_emissions,total_emissions,db_time_indexed_asof_join,,,"non_null=2066, coverage_rate=0.9690431519699813",2066,9,,Base all_in feature carried forward.,,,
176,pol_direct_emissions,,pol,raw.kogas_emissions,raw.kogas_emissions,direct_emissions,db_time_indexed_asof_join,,,"non_null=2066, coverage_rate=0.9690431519699813",2066,9,,Base all_in feature carried forward.,,,
177,pol_indirect_emissions,,pol,raw.kogas_emissions,raw.kogas_emissions,indirect_emissions,db_time_indexed_asof_join,,,"non_null=2066, coverage_rate=0.9690431519699813",2066,9,,Base all_in feature carried forward.,,,
178,pol_period_15,,pol,raw.kospo_emissions,raw.kospo_emissions,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
179,pol_emissions,,pol,raw.kospo_emissions,raw.kospo_emissions,emissions,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,10,,Base all_in feature carried forward.,,,
180,src_period_2,,src,raw.kospo_intensity,raw.kospo_intensity,period,db_time_indexed_asof_join,,,"non_null=2123, coverage_rate=0.9957786116322702",2123,3,,Base all_in feature carried forward.,,,
181,src_intensity,,src,raw.kospo_intensity,raw.kospo_intensity,intensity,db_time_indexed_asof_join,,,"non_null=2123, coverage_rate=0.9957786116322702",2123,81,,Base all_in feature carried forward.,,,
182,src_period_3,,src,raw.kospo_scope3,raw.kospo_scope3,period,db_time_indexed_asof_join,,,"non_null=1052, coverage_rate=0.4934333958724202",1052,1,,Base all_in feature carried forward.,,,
183,src_no_2,,src,raw.kospo_scope3,raw.kospo_scope3,no,db_time_indexed_asof_join,,,"non_null=1052, coverage_rate=0.4934333958724202",1052,4,,Base all_in feature carried forward.,,,
184,src_category_count,,src,raw.kospo_scope3,raw.kospo_scope3,category_count,db_time_indexed_asof_join,,,"non_null=1052, coverage_rate=0.4934333958724202",1052,2,,Base all_in feature carried forward.,,,
185,src_scope3_emissions,,src,raw.kospo_scope3,raw.kospo_scope3,scope3_emissions,db_time_indexed_asof_join,,,"non_null=1052, coverage_rate=0.4934333958724202",1052,4,,Base all_in feature carried forward.,,,
186,auc_period,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,period,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,3,,Base all_in feature carried forward.,,,
187,auc_onewayauct_appl_qty,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,onewayauct_appl_qty,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,34,,Base all_in feature carried forward.,,,
188,auc_auct_trd_qty,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,auct_trd_qty,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,78,,Base all_in feature carried forward.,,,
189,auc_auct_trd_rto,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,auct_trd_rto,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,57,,Base all_in feature carried forward.,,,
190,auc_auct_trd_partc_cnt,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,auct_trd_partc_cnt,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,13,,Base all_in feature carried forward.,,,
191,auc_acc_trdcnt,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,acc_trdcnt,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,10,,Base all_in feature carried forward.,,,
192,auc_hgst_ord_prc,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,hgst_ord_prc,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,73,,Base all_in feature carried forward.,,,
193,auc_lwst_ord_prc,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,lwst_ord_prc,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,60,,Base all_in feature carried forward.,,,
194,auc_acc_trdvol,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,acc_trdvol,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,63,,Base all_in feature carried forward.,,,
195,auc_clsprc,,auc,raw.krx_auction_monthly,raw.krx_auction_monthly,clsprc,db_time_indexed_asof_join,,,"non_null=1721, coverage_rate=0.8072232645403377",1721,70,,Base all_in feature carried forward.,,,
196,mkt_period,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
197,mkt_clsprc,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,clsprc,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1107,,Base all_in feature carried forward.,,,
198,mkt_chgh,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,chgh,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,304,,Base all_in feature carried forward.,,,
199,mkt_chgh_rt,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,chgh_rt,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1020,,Base all_in feature carried forward.,,,
200,mkt_opr,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,opr,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,923,,Base all_in feature carried forward.,,,
201,mkt_hpr,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,hpr,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,922,,Base all_in feature carried forward.,,,
202,mkt_lpr,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,lpr,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,925,,Base all_in feature carried forward.,,,
203,mkt_acc_trdvol,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,acc_trdvol,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1725,,Base all_in feature carried forward.,,,
204,mkt_acc_trdval,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,acc_trdval,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,2105,,Base all_in feature carried forward.,,,
205,mkt_vwap_2,,mkt,raw.krx_ets_daily,raw.krx_ets_daily,vwap,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1848,,Base all_in feature carried forward.,,,
206,pol_period_16,,pol,raw.kwater_emissions,raw.kwater_emissions,period,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,3,,Base all_in feature carried forward.,,,
207,pol_allowance_qty,,pol,raw.kwater_emissions,raw.kwater_emissions,allowance_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,10,,Base all_in feature carried forward.,,,
208,pol_emissions_qty,,pol,raw.kwater_emissions,raw.kwater_emissions,emissions_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,10,,Base all_in feature carried forward.,,,
209,pol_compliance_qty,,pol,raw.kwater_emissions,raw.kwater_emissions,compliance_qty,db_time_indexed_asof_join,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,10,,Base all_in feature carried forward.,,,
210,pol_compliance_rate,,pol,raw.kwater_emissions,raw.kwater_emissions,compliance_rate,db_time_indexed_asof_join,,,"non_null=1562, coverage_rate=0.7326454033771107",1562,1,,Base all_in feature carried forward.,,,
211,ext_period_2,,ext,raw.macro_indicators,raw.macro_indicators,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
212,ext_kospi,,ext,raw.macro_indicators,raw.macro_indicators,kospi,db_time_indexed_asof_join,,,"non_null=2129, coverage_rate=0.99859287054409",2129,2112,,Base all_in feature carried forward.,,,
213,ext_usdkrw,,ext,raw.macro_indicators,raw.macro_indicators,usdkrw,db_time_indexed_asof_join,,,"non_null=2127, coverage_rate=0.99765478424015",2127,2056,,Base all_in feature carried forward.,,,
214,ext_value,,ext,raw.macro_market_indicator_daily,raw.macro_market_indicator_daily,value,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,2132,,Base all_in feature carried forward.,,,
215,fuel_period_2,,fuel,raw.oil_daily,raw.oil_daily,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
216,fuel_wti,,fuel,raw.oil_daily,raw.oil_daily,wti,db_time_indexed_asof_join,,,"non_null=2131, coverage_rate=0.99953095684803",2131,1744,,Base all_in feature carried forward.,,,
217,fuel_brent,,fuel,raw.oil_daily,raw.oil_daily,brent,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,1728,,Base all_in feature carried forward.,,,
218,nlp_finbert_neg_60d,FinBERT 부정 확률 60일 평균,nlp_finbert,runpod_gpu_inference,data/processed/features/kfinbert/kfinbert_trade_features.parquet,nlp_kfinbert_neg_prob_mean_60d,FinBERT 부정 확률 60일 평균,article asof_date <= trd_dd; published_date + 1 calendar day; backward merge_asof; 60d rolling aggregate,published_date + 1 calendar day,"non_null=919, coverage_rate=0.43105065666041276",919,820,negative/stress proxy; sign is empirical in scarcity-driven carbon markets,FinBERT 부정 확률 60일 평균,Korean financial-domain article sentiment summarizes carbon-market news tone and policy/market attention over a disclosure-safe 60d window.,FinBERT 60d feature retained after materialization and as-of validation; model rerun results remain reference-only unless explicitly adopted.,financial news sentiment; investor attention; policy attention; carbon market information flow
219,nlp_finbert_pos_60d,FinBERT 긍정 확률 60일 평균,nlp_finbert,runpod_gpu_inference,data/processed/features/kfinbert/kfinbert_trade_features.parquet,nlp_kfinbert_pos_prob_mean_60d,FinBERT 긍정 확률 60일 평균,article asof_date <= trd_dd; published_date + 1 calendar day; backward merge_asof; 60d rolling aggregate,published_date + 1 calendar day,"non_null=919, coverage_rate=0.43105065666041276",919,820,positive/optimism proxy; sign is empirical,FinBERT 긍정 확률 60일 평균,Korean financial-domain article sentiment summarizes carbon-market news tone and policy/market attention over a disclosure-safe 60d window.,FinBERT 60d feature retained after materialization and as-of validation; model rerun results remain reference-only unless explicitly adopted.,financial news sentiment; investor attention; policy attention; carbon market information flow
220,nlp_finbert_sent_60d,FinBERT 감성 점수 60일 평균,nlp_finbert,runpod_gpu_inference,data/processed/features/kfinbert/kfinbert_trade_features.parquet,nlp_kfinbert_sent_score_mean_60d,FinBERT 감성 점수 60일 평균,article asof_date <= trd_dd; published_date + 1 calendar day; backward merge_asof; 60d rolling aggregate,published_date + 1 calendar day,"non_null=919, coverage_rate=0.43105065666041276",919,820,positive minus negative sentiment; expected positive if favorable news dominates,FinBERT 감성 점수 60일 평균,Korean financial-domain article sentiment summarizes carbon-market news tone and policy/market attention over a disclosure-safe 60d window.,FinBERT 60d feature retained after materialization and as-of validation; model rerun results remain reference-only unless explicitly adopted.,financial news sentiment; investor attention; policy attention; carbon market information flow
221,nlp_finbert_spread_60d,FinBERT 부정-긍정 스프레드 60일 평균,nlp_finbert,runpod_gpu_inference,data/processed/features/kfinbert/kfinbert_trade_features.parquet,nlp_kfinbert_neg_pos_spread_mean_60d,FinBERT 부정-긍정 스프레드 60일 평균,article asof_date <= trd_dd; published_date + 1 calendar day; backward merge_asof; 60d rolling aggregate,published_date + 1 calendar day,"non_null=919, coverage_rate=0.43105065666041276",919,820,negative minus positive sentiment; stress/scarcity proxy,FinBERT 부정-긍정 스프레드 60일 평균,Korean financial-domain article sentiment summarizes carbon-market news tone and policy/market attention over a disclosure-safe 60d window.,FinBERT 60d feature retained after materialization and as-of validation; model rerun results remain reference-only unless explicitly adopted.,financial news sentiment; investor attention; policy attention; carbon market information flow
222,nlp_finbert_count_60d,FinBERT 기사 수 60일 합계,nlp_finbert,runpod_gpu_inference,data/processed/features/kfinbert/kfinbert_trade_features.parquet,nlp_kfinbert_article_count_60d,FinBERT 기사 수 60일 합계,article asof_date <= trd_dd; published_date + 1 calendar day; backward merge_asof; 60d rolling aggregate,published_date + 1 calendar day,"non_null=2116, coverage_rate=0.9924953095684803",2116,176,attention/coverage volume proxy; sign ambiguous,FinBERT 기사 수 60일 합계,Korean financial-domain article sentiment summarizes carbon-market news tone and policy/market attention over a disclosure-safe 60d window.,FinBERT 60d feature retained after materialization and as-of validation; model rerun results remain reference-only unless explicitly adopted.,financial news sentiment; investor attention; policy attention; carbon market information flow
