order,feature_name,label_ko,feature_group,source_kind,source_table_or_file,source_column,transform_or_definition,as_of_rule,disclosure_lag,coverage,non_null_count,unique_value_count,expected_sign,description,domain_rationale,statistical_evidence,literature_anchor
30,wx_nat_min_temp_c,,weather,current_pm_final,current_pm_final,wx_nat_min_temp_c,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1344,,Base all_in feature carried forward.,,,
31,wx_stn_avg_temp_c,,weather,current_pm_final,current_pm_final,wx_stn_avg_temp_c,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1350,,Base all_in feature carried forward.,,,
32,wx_stn_cdd18,,weather,current_pm_final,current_pm_final,wx_stn_cdd18,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,696,,Base all_in feature carried forward.,,,
33,wx_stn_hdd18,,weather,current_pm_final,current_pm_final,wx_stn_hdd18,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,876,,Base all_in feature carried forward.,,,
34,wx_stn_max_temp_c,,weather,current_pm_final,current_pm_final,wx_stn_max_temp_c,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1322,,Base all_in feature carried forward.,,,
35,wx_stn_min_temp_c,,weather,current_pm_final,current_pm_final,wx_stn_min_temp_c,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1357,,Base all_in feature carried forward.,,,
36,wx_stn_avg_rh,,weather,current_pm_final,current_pm_final,wx_stn_avg_rh,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1530,,Base all_in feature carried forward.,,,
37,mkt_daily_logret,,market_microstructure,current_pm_final,current_pm_final,mkt_daily_logret,existing_pm_final_predictor,,,"non_null=2131, coverage_rate=0.99953095684803",2131,2019,,Base all_in feature carried forward.,,,
38,mkt_logret_lag1,,market_microstructure,current_pm_final,current_pm_final,mkt_logret_lag1,existing_pm_final_predictor,,,"non_null=2130, coverage_rate=0.99906191369606",2130,2018,,Base all_in feature carried forward.,,,
39,mkt_logret_lag5,,market_microstructure,current_pm_final,current_pm_final,mkt_logret_lag5,existing_pm_final_predictor,,,"non_null=2126, coverage_rate=0.99718574108818",2126,2014,,Base all_in feature carried forward.,,,
40,mkt_logret_ma20,,market_microstructure,current_pm_final,current_pm_final,mkt_logret_ma20,existing_pm_final_predictor,,,"non_null=2125, coverage_rate=0.99671669793621",2125,2078,,Base all_in feature carried forward.,,,
41,mkt_logret_ma5,,market_microstructure,current_pm_final,current_pm_final,mkt_logret_ma5,existing_pm_final_predictor,,,"non_null=2129, coverage_rate=0.99859287054409",2129,2072,,Base all_in feature carried forward.,,,
42,mkt_logret_ma60,,market_microstructure,current_pm_final,current_pm_final,mkt_logret_ma60,existing_pm_final_predictor,,,"non_null=2111, coverage_rate=0.9901500938086304",2111,2075,,Base all_in feature carried forward.,,,
43,mkt_logret_vol_20d,,market_microstructure,current_pm_final,current_pm_final,mkt_logret_vol_20d,existing_pm_final_predictor,,,"non_null=2125, coverage_rate=0.99671669793621",2125,2097,,Base all_in feature carried forward.,,,
44,mkt_vol,,market_microstructure,current_pm_final,current_pm_final,mkt_vol,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1725,,Base all_in feature carried forward.,,,
45,mkt_vol_log1p,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_log1p,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1725,,Base all_in feature carried forward.,,,
46,mkt_vol_lag1,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_lag1,existing_pm_final_predictor,,,"non_null=2131, coverage_rate=0.99953095684803",2131,1724,,Base all_in feature carried forward.,,,
47,mkt_vol_lag20,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_lag20,existing_pm_final_predictor,,,"non_null=2112, coverage_rate=0.9906191369606004",2112,1705,,Base all_in feature carried forward.,,,
48,mkt_vol_lag5,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_lag5,existing_pm_final_predictor,,,"non_null=2127, coverage_rate=0.99765478424015",2127,1720,,Base all_in feature carried forward.,,,
49,mkt_vol_lag60,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_lag60,existing_pm_final_predictor,,,"non_null=2072, coverage_rate=0.9718574108818012",2072,1666,,Base all_in feature carried forward.,,,
50,mkt_vol_ma20,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_ma20,existing_pm_final_predictor,,,"non_null=2126, coverage_rate=0.99718574108818",2126,2124,,Base all_in feature carried forward.,,,
51,mkt_vol_ma5,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_ma5,existing_pm_final_predictor,,,"non_null=2130, coverage_rate=0.99906191369606",2130,2124,,Base all_in feature carried forward.,,,
52,mkt_vol_std20,,market_microstructure,current_pm_final,current_pm_final,mkt_vol_std20,existing_pm_final_predictor,,,"non_null=2126, coverage_rate=0.99718574108818",2126,2121,,Base all_in feature carried forward.,,,
